"","group","type","units","Last 10-year average","year","amount"
"306","Foods","Sugar and candy","Percent","5.4810674629999996","2018","-0.34432610499999999"
"307","Foods","Sugar and candy","Percent","5.4810674629999996","2017","0.97611540600000002"
"308","Foods","Sugar and candy","Percent","5.4810674629999996","2016","0.20124207499999999"
"309","Foods","Sugar and candy","Percent","5.4810674629999996","2015","2.8784505789999999"
"310","Foods","Sugar and candy","Percent","5.4810674629999996","2014","4.5964699859999998"
"311","Foods","Sugar and candy","Percent","5.4810674629999996","2013","-10.583189320000001"
"312","Foods","Sugar and candy","Percent","5.4810674629999996","2012","-6.962013056"
"313","Foods","Sugar and candy","Percent","5.4810674629999996","2011","27.128327630000001"
"314","Foods","Sugar and candy","Percent","5.4810674629999996","2010","31.38447601"
"315","Foods","Sugar and candy","Percent","5.4810674629999996","2009","3.3229699460000002"
"316","Foods","Sugar and candy","Percent","5.4810674629999996","2008","14.72347933"
"317","Foods","Sugar and candy","Percent","5.4810674629999996","2007","-14.67373519"
"318","Foods","Sugar and candy","Percent","5.4810674629999996","2006","22.18312675"
"319","Foods","Sugar and candy","Percent","5.4810674629999996","2005","18.278552850000001"
"320","Foods","Sugar and candy","Percent","5.4810674629999996","2004","-1.0991580919999999"
"321","Foods","Sugar and candy","Percent","5.4810674629999996","2003","14.91534534"
"322","Foods","Sugar and candy","Percent","5.4810674629999996","2002","15.810768749999999"
"323","Foods","Sugar and candy","Percent","5.4810674629999996","2001","2.9213915049999999"
"324","Foods","Sugar and candy","Percent","5.4810674629999996","2000","-2.0458111080000001"
"325","Foods","Sugar and candy","Percent","5.4810674629999996","1999",NA
"326","Foods","Vegetable oils","Percent","8.0326647090000005","2023","-1.6063854399999999"
"327","Foods","Vegetable oils","Percent","8.0326647090000005","2022","34.585045880000003"
"328","Foods","Vegetable oils","Percent","8.0326647090000005","2021","44.188204310000003"
"329","Foods","Vegetable oils","Percent","8.0326647090000005","2020","6.0061870390000003"
"330","Foods","Vegetable oils","Percent","8.0326647090000005","2019","-9.810851027"
"331","Foods","Vegetable oils","Percent","8.0326647090000005","2018","-3.1430155210000001"
"332","Foods","Vegetable oils","Percent","8.0326647090000005","2017","10.618858550000001"
"333","Foods","Vegetable oils","Percent","8.0326647090000005","2016","3.4771022029999998"
"334","Foods","Vegetable oils","Percent","8.0326647090000005","2015","-14.07327645"
"335","Foods","Vegetable oils","Percent","8.0326647090000005","2014","10.08477755"
"336","Foods","Vegetable oils","Percent","8.0326647090000005","2013","6.8731057270000004"
"337","Foods","Vegetable oils","Percent","8.0326647090000005","2012","-8.2091968909999995"
"338","Foods","Vegetable oils","Percent","8.0326647090000005","2011","50.674237050000002"
"339","Foods","Vegetable oils","Percent","8.0326647090000005","2010","11.6205377"
"340","Foods","Vegetable oils","Percent","8.0326647090000005","2009","-29.066132830000001"
"341","Foods","Vegetable oils","Percent","8.0326647090000005","2008","61.930218670000002"
"342","Foods","Vegetable oils","Percent","8.0326647090000005","2007","24.78089628"
"343","Foods","Vegetable oils","Percent","8.0326647090000005","2006","19.288072459999999"
"344","Foods","Vegetable oils","Percent","8.0326647090000005","2005","5.4261490410000004"
"345","Foods","Vegetable oils","Percent","8.0326647090000005","2004","48.755393300000001"
"346","Foods","Vegetable oils","Percent","8.0326647090000005","2003","15.73327188"
"347","Foods","Vegetable oils","Percent","8.0326647090000005","2002","10.594732369999999"
"348","Foods","Vegetable oils","Percent","8.0326647090000005","2001","-13.614678899999999"
"349","Foods","Vegetable oils","Percent","8.0326647090000005","2000","0.41270543100000001"
"350","Foods","Vegetable oils","Percent","8.0326647090000005","1999",NA
"351","Foods","Vegetables","Percent","6.4264333789999997","2023","8.4068858280000001"
"352","Foods","Vegetables","Percent","6.4264333789999997","2022","8.7131989670000003"
"353","Foods","Vegetables","Percent","6.4264333789999997","2021","7.9532967919999997"
"354","Foods","Vegetables","Percent","6.4264333789999997","2020","11.555472719999999"
